user,comment,timestamp,channel,category,es_humano,is_real,source,quality_score
purryez,LO,2026-05-25T14:42:19.149063,rubius,gaming,1,True,real_twitch_user,5
paolitaa007,JU,2026-05-25T14:41:45.169149,rubius,gaming,1,True,real_twitch_user,5
cesardiaz507,age,2026-05-25T14:27:11.743523,rubius,gaming,1,True,real_twitch_user,5
krisch_bbh,POPI,2026-05-25T14:27:11.954441,rubius,gaming,1,True,real_twitch_user,5
merussmeru,Los time attack son los más superiores,2026-05-25T14:30:21.704389,rubius,gaming,1,True,real_twitch_user,5
lala_notz,rubbTuerk rubbTuerk rubbTuerk rubbTuerk rubbTuerk,2026-05-25T14:27:12.154510,rubius,gaming,1,True,real_twitch_user,5
d0u503,me vengo,2026-05-25T14:27:11.548755,rubius,gaming,1,True,real_twitch_user,5
trymindx,yapping,2026-05-25T14:26:07.317363,rubius,gaming,1,True,real_twitch_user,5
ikeervaporeon44,o7,2026-05-25T14:26:25.940868,rubius,gaming,1,True,real_twitch_user,5
hlewhatmeou,chat Rubius oye,2026-05-25T14:42:22.029218,rubius,gaming,1,True,real_twitch_user,5
trymindx,mhm,2026-05-25T14:36:12.013988,rubius,gaming,1,True,real_twitch_user,5
minsitooo,rubbHeCrazy rubbHeCrazy,2026-05-25T14:35:50.808058,rubius,gaming,1,True,real_twitch_user,5
isabrabos,dasi,2026-05-25T14:24:42.331755,rubius,gaming,1,True,real_twitch_user,5
benhurislost_7,otra ruleta,2026-05-25T14:40:35.680854,rubius,gaming,1,True,real_twitch_user,5
midsinquirk,Clueless,2026-05-25T14:24:19.161554,rubius,gaming,1,True,real_twitch_user,5
miyas__,YaAllaH  ANELE 🙏,2026-05-25T14:28:27.601499,rubius,gaming,1,True,real_twitch_user,5
trufadv,XDDDDDDDD,2026-05-25T14:41:30.061319,rubius,gaming,1,True,real_twitch_user,5
hambo_hax,xd,2026-05-25T14:42:15.817241,rubius,gaming,1,True,real_twitch_user,5
dulcevannez,el conductor es el goty,2026-05-25T14:25:21.244052,rubius,gaming,1,True,real_twitch_user,5
andrea_tomatito,LOL,2026-05-25T14:25:18.659696,rubius,gaming,1,True,real_twitch_user,5
marcod23_,suS vp,2026-05-25T14:35:58.716765,rubius,gaming,1,True,real_twitch_user,5
serrano_si,@rubius prueba battle roye,2026-05-25T14:36:21.420865,rubius,gaming,1,True,real_twitch_user,5
ryuuct,Pognt,2026-05-25T14:29:24.359988,rubius,gaming,1,True,real_twitch_user,5
andrea_tomatito,adios,2026-05-25T14:26:33.101311,rubius,gaming,1,True,real_twitch_user,5
manolito2435,ONEMORE ͏,2026-05-25T14:36:38.000030,rubius,gaming,1,True,real_twitch_user,5
sempermage,"Tienes nexo abierto, 7 k arriba, te mantan a 2 y pierdes?? qué   mecánica de juego es esa????",2026-05-25T14:24:11.305659,ibai,variety_gaming,1,True,real_twitch_user,5
santukon,Pues q te tanquean torre se lanzan a por los 2 q quedan vivos y listo,2026-05-25T14:24:52.819129,ibai,variety_gaming,1,True,real_twitch_user,5
xceltadark_,WeDidThat WeDidThat WeDidThat,2026-05-25T14:41:13.053580,auronplay,variety_gaming,1,True,real_twitch_user,5
benjinji_,Los que saben manejar estuvieron años jugando al gta online xd,2026-05-25T14:33:58.506682,rubius,gaming,1,True,real_twitch_user,5
martin3047,huh ͏,2026-05-25T14:25:00.968542,rubius,gaming,1,True,real_twitch_user,5
manolito2435,ONEMORE ͏,2026-05-25T14:36:43.616535,rubius,gaming,1,True,real_twitch_user,5
trillaa95,peepoPoint,2026-05-25T14:41:42.648028,rubius,gaming,1,True,real_twitch_user,5
elbichosiuu__bs,Ahora con volante rub,2026-05-25T14:34:58.575103,rubius,gaming,1,True,real_twitch_user,5
yago_2xd,mhm,2026-05-25T14:38:01.247991,rubius,gaming,1,True,real_twitch_user,5
grossiman22,La tacoma da mucho asco,2026-05-25T14:34:25.489535,rubius,gaming,1,True,real_twitch_user,5
carrasvalencia,rubbKEKW rubbKEKW rubbKEKW,2026-05-25T14:42:19.758242,rubius,gaming,1,True,real_twitch_user,5
dulcevannez,ola yt,2026-05-25T14:35:58.716765,rubius,gaming,1,True,real_twitch_user,5
razor_jk,no tocan pasto,2026-05-25T14:39:14.782299,rubius,gaming,1,True,real_twitch_user,5
scoupson,rubbSitR,2026-05-25T14:37:45.333537,rubius,gaming,1,True,real_twitch_user,5
lala_notz,o7,2026-05-25T14:40:34.142811,rubius,gaming,1,True,real_twitch_user,5
razor_jk,LO,2026-05-25T14:27:51.774368,rubius,gaming,1,True,real_twitch_user,5
trufadv,XDDDDDDD,2026-05-25T14:42:17.148304,rubius,gaming,1,True,real_twitch_user,5
trymindx,YEP,2026-05-25T14:29:38.575531,rubius,gaming,1,True,real_twitch_user,5
jraphaelgs,Clueless,2026-05-25T14:39:18.883763,rubius,gaming,1,True,real_twitch_user,5
antonio7_95,nissan,2026-05-25T14:37:06.076404,rubius,gaming,1,True,real_twitch_user,5
xb0ykka,el issetta es igual que el peel peroi en bmw,2026-05-25T14:24:39.782909,rubius,gaming,1,True,real_twitch_user,5
jorgegeorge98,POPI,2026-05-25T14:24:48.909868,rubius,gaming,1,True,real_twitch_user,5
leonsus,BroBalt,2026-05-25T14:26:31.133581,rubius,gaming,1,True,real_twitch_user,5
manolito2435,es hermosa WOAH @Rubius ͏,2026-05-25T14:28:21.710335,rubius,gaming,1,True,real_twitch_user,5
manuelctz_gd,rubbTuerk rubbTuerk,2026-05-25T14:27:24.766535,rubius,gaming,1,True,real_twitch_user,5
