username,message,timestamp,channel,stream_category
drixtsyx,clappi Steve,2026-05-25T14:23:54.028825,rubius,gaming
dulcevannez,el diablo,2026-05-25T14:23:54.442703,rubius,gaming
pepdroooo,vendo marlboro a 5€,2026-05-25T14:23:54.693784,rubius,gaming
leonsus,mo,2026-05-25T14:23:54.949910,rubius,gaming
miyas__,NaM TeaTime,2026-05-25T14:23:55.942431,rubius,gaming
enrique_perez97,ponte una categoría S2 superior a 800 y verás la diferencia,2026-05-25T14:23:57.587682,rubius,gaming
oscar21cs,Matamoros ajajaajaj,2026-05-25T14:23:58.691628,rubius,gaming
benjinji_,Literal va como un misil xd,2026-05-25T14:23:58.885511,rubius,gaming
trymindx,Joel,2026-05-25T14:23:59.784107,rubius,gaming
delfilauri,Igualaste el tiempo de steve,2026-05-25T14:24:00.765716,rubius,gaming
rubensptt9,XD,2026-05-25T14:24:01.722693,rubius,gaming
joaquinz31,El copias Pfft,2026-05-25T14:24:05.463250,rubius,gaming
oniii_oniii,esta asi Stare,2026-05-25T14:24:06.182694,rubius,gaming
andrea_tomatito,RUN,2026-05-25T14:24:06.379735,rubius,gaming
ivaeda,@fan_de_rubius_corp rubbOla nueva,2026-05-25T14:24:06.813759,rubius,gaming
razor_jk,es que no pesa na,2026-05-25T14:24:07.021799,rubius,gaming
rainimeow,vicksyClassic,2026-05-25T14:24:08.436966,rubius,gaming
miyas__,Clueless TeaTime,2026-05-25T14:24:08.848786,rubius,gaming
supersaiyan000000000,Ponte otra y rebufa y ganas,2026-05-25T14:24:09.563493,rubius,gaming
oniii_oniii,esta asi Stare @andrea_tomatito,2026-05-25T14:24:10.792433,rubius,gaming
xb0ykka,@Rubius mira el bmw issetta en la tienda,2026-05-25T14:24:11.027671,rubius,gaming
daaan_lolxdz,ahora una pero q esten en primera persona jshajhsa,2026-05-25T14:24:11.760703,rubius,gaming
delfilauri,Tienes el mismo tiempo de steveeeee,2026-05-25T14:24:11.961663,rubius,gaming
jraphaelgs,Clueless,2026-05-25T14:24:12.164077,rubius,gaming
dulcevannez,como siempre es el conductor amor,2026-05-25T14:24:13.100821,rubius,gaming
jorgegeorge98,classic,2026-05-25T14:24:14.210541,rubius,gaming
tincho2077,eltrampas,2026-05-25T14:24:14.742224,rubius,gaming
andrea_tomatito,el conductor LO,2026-05-25T14:24:15.812943,rubius,gaming
joan24m,Si siguen acelerando salen volando un buen,2026-05-25T14:24:17.347108,rubius,gaming
capocha6,xxdd,2026-05-25T14:24:18.371194,rubius,gaming
midsinquirk,Clueless,2026-05-25T14:24:19.161554,rubius,gaming
oniii_oniii,@Miyas__ esta asi Stare,2026-05-25T14:24:20.108955,rubius,gaming
daniicute,catMunch,2026-05-25T14:24:20.330992,rubius,gaming
katdiler,chimuele,2026-05-25T14:24:21.237288,rubius,gaming
m8nuel,todos los dias son masivis,2026-05-25T14:24:21.813690,rubius,gaming
tincho2077,no es la nave es el CHEPA,2026-05-25T14:24:23.491265,rubius,gaming
kingaga98,Copiale a steve,2026-05-25T14:24:23.698904,rubius,gaming
fan_de_rubius_corp,@ivaeda rubbOof KPOPlove,2026-05-25T14:24:24.308542,rubius,gaming
trymindx,XD,2026-05-25T14:24:24.638690,rubius,gaming
benjinji_,"Ese auto no gasta gasolina, gasta reactor nuclear pog",2026-05-25T14:24:24.845704,rubius,gaming
dulcevannez,ju,2026-05-25T14:24:24.845704,rubius,gaming
andrea_tomatito,@oniii_oniii LOL,2026-05-25T14:24:25.638707,rubius,gaming
byfroom,Es lo que esta entre el monitor y la silla xd,2026-05-25T14:24:28.815111,rubius,gaming
rainimeow,vicksyClassic el copias,2026-05-25T14:24:29.736267,rubius,gaming
miyas__,"oniii_oniii, asi Stare vp",2026-05-25T14:24:29.931476,rubius,gaming
iapolx,y eso JU,2026-05-25T14:24:29.931476,rubius,gaming
oniii_oniii,LO,2026-05-25T14:24:34.344343,rubius,gaming
saabieer,control c control v,2026-05-25T14:24:35.163074,rubius,gaming
oniii_oniii,LOL,2026-05-25T14:24:35.480556,rubius,gaming
jorgegeorge98,XD,2026-05-25T14:24:35.674369,rubius,gaming
trymindx,catRAVE,2026-05-25T14:24:36.289695,rubius,gaming
ddnone_,dasi,2026-05-25T14:24:37.909658,rubius,gaming
jorge_gaitan26,Es el conductor quien conduce el auto el que hace la conducción,2026-05-25T14:24:38.109674,rubius,gaming
leonsus,kek,2026-05-25T14:24:38.109674,rubius,gaming
ipatxi,rubbTuerk rubbTuerk rubbTuerk rubbTuerk rubbTuerk,2026-05-25T14:24:38.312566,rubius,gaming
lyn_galy,jah,2026-05-25T14:24:38.754861,rubius,gaming
ddnone_,dasi,2026-05-25T14:24:39.003336,rubius,gaming
trymindx,WalterVibe,2026-05-25T14:24:39.582099,rubius,gaming
